time,cases,cured
2020-01-30,,0.0
2020-01-31,0.0,0.0
2020-02-01,1.0,0.0
2020-02-02,1.0,0.0
2020-02-03,0.0,0.0
2020-02-04,0.0,0.0
2020-02-05,0.0,0.0
2020-02-06,0.0,0.0
2020-02-07,0.0,0.0
2020-02-08,0.0,0.0
2020-02-09,0.0,0.0
2020-02-10,0.0,0.0
2020-02-11,0.0,0.0
2020-02-12,0.0,0.0
2020-02-13,0.0,0.0
2020-02-14,0.0,0.0
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,2.0,0.0
2020-03-03,1.0,3.0
2020-03-04,22.0,0.0
2020-03-05,2.0,0.0
2020-03-06,1.0,0.0
2020-03-07,3.0,0.0
2020-03-08,5.0,0.0
2020-03-09,7.0,0.0
2020-03-10,12.0,0.0
2020-03-11,2.0,0.0
2020-03-12,14.0,0.0
2020-03-13,7.0,0.0
2020-03-14,3.0,7.0
2020-03-15,26.0,6.5
2020-03-16,4.0,0.0
2020-03-17,23.0,1.0
2020-03-18,14.0,0.0
2020-03-19,22.0,6.0
2020-03-20,50.0,3.0
2020-03-21,60.0,0.0
2020-03-22,77.0,1.0
2020-03-23,73.0,0.0
2020-03-24,86.0,16.0
2020-03-25,87.0,3.0
2020-03-26,88.0,2.0
2020-03-27,30.0,22.0
2020-03-28,185.0,13.0
2020-03-29,115.0,16.0
2020-03-30,181.0,6.0
2020-03-31,154.0,22.0
2020-04-01,475.0,20.0
2020-04-02,235.0,12.0
2020-04-03,401.0,10.0
2020-04-04,602.0,50.0
2020-04-05,505.0,62.0
2020-04-06,704.0,44.0
2020-04-07,508.0,34.0
2020-04-08,485.0,58.0
2020-04-09,591.0,67.0
2020-04-10,896.0,38.0
2020-04-11,768.0,137.0
2020-04-12,918.0,112.0
2020-04-13,905.0,215.0
2020-04-14,1463.0,210.0
2020-04-15,1118.0,154.0
2020-04-16,826.0,171.0
2020-04-17,1076.0,252.0
2020-04-18,957.0,248.0
2020-04-19,1324.0,287.0
2020-04-20,1540.0,540.0
2020-04-21,1329.0,418.0
2020-04-22,1486.0,700.0
2020-04-23,1229.0,365.0
2020-04-24,1752.0,489.0
2020-04-25,1441.0,396.0
2020-04-26,1712.0,704.0
2020-04-27,1555.0,448.0
2020-04-28,1674.0,665.0
2020-04-29,1875.0,770.0
2020-04-30,1621.0,576.0
2020-05-01,1642.0,692.0
2020-05-02,2185.0,886.0
2020-05-03,2967.0,936.0
2020-05-04,2712.0,875.0
2020-05-05,3875.0,1399.0
2020-05-06,2680.0,1022.0
2020-05-07,3561.0,1084.0
2020-05-08,3390.0,1273.0
2020-05-09,3320.0,1307.0
2020-05-10,3277.0,1511.0
2020-05-11,4213.0,1559.0
2020-05-12,3604.0,1538.0
2020-05-13,3525.0,1931.0
2020-05-14,3722.0,1849.0
2020-05-15,3967.0,1685.0
2020-05-16,3740.0,2233.0
2020-05-17,4927.0,3956.0
2020-05-18,5122.0,2715.0
2020-05-19,4566.0,2350.0
2020-05-20,5329.0,3124.0
2020-05-21,5302.0,3002.0
2020-05-22,5871.0,3234.0
2020-05-23,6375.0,3250.0
2020-05-24,6328.0,2657.0
2020-05-25,6673.0,3280.0
2020-05-26,6207.0,2770.0
2020-05-27,5344.0,3935.0
2020-05-28,6247.0,3266.0
2020-05-29,7125.0,3414.0
2020-05-30,7594.0,11264.0
2020-05-31,7932.0,4614.0
2020-06-01,8253.0,4835.0
2020-06-02,7387.0,3708.0
2020-06-03,8200.0,4776.0
2020-06-04,8944.0,3804.0
2020-06-05,9724.0,5355.0
2020-06-06,9305.0,4611.0
2020-06-07,9558.0,5220.0
2020-06-08,9399.0,4802.0
2020-06-09,10373.0,5120.0
2020-06-10,9561.0,5991.0
2020-06-11,10290.0,5823.0
2020-06-12,11574.0,6166.0
2020-06-13,11789.0,7135.0
2020-06-14,12477.0,8049.0
2020-06-15,11966.0,7419.0
2020-06-16,9955.0,10215.0
2020-06-17,10385.0,6922.0
2020-06-18,12451.0,7390.0
2020-06-19,13362.0,10386.0
2020-06-20,14178.0,9120.0
2020-06-21,15551.0,13925.0
2020-06-22,16116.0,9440.0
2020-06-23,14750.0,10994.0
2020-06-24,15842.0,10495.0
2020-06-25,16570.0,13012.0
2020-06-26,17666.0,13940.0
2020-06-27,18652.0,10244.0
2020-06-28,20090.0,13832.0
2020-06-29,20013.0,12010.0
2020-06-30,18803.0,13099.0
2020-07-01,18742.0,13157.0
2020-07-02,19231.0,11881.0
2020-07-03,21704.0,20032.0
2020-07-04,23803.0,14335.0
2020-07-05,25220.0,14856.0
2020-07-06,23964.0,15350.0
2020-07-07,22131.0,15515.0
2020-07-08,22768.0,16883.0
2020-07-09,25512.0,19547.0
2020-07-10,26730.0,19138.0
2020-07-11,27859.0,19870.0
2020-07-12,29029.0,19235.0
2020-07-13,29367.0,18850.0
2020-07-14,28677.0,17989.0
2020-07-15,30084.0,20572.0
2020-07-16,32934.0,20783.0
2020-07-17,35710.0,22942.0
2020-07-18,35252.0,17994.0
2020-07-19,39065.0,23672.0
2020-07-20,40425.0,22664.0
2020-07-21,37148.0,24491.0
2020-07-22,37724.0,28472.0
2020-07-23,45720.0,29557.0
2020-07-24,49310.0,34602.0
2020-07-25,48916.0,32223.0
2020-07-26,48661.0,36145.0
2020-07-27,49931.0,31991.0
2020-07-28,47703.0,35175.0
2020-07-29,48513.0,35286.0
2020-07-30,52123.0,32553.0
2020-07-31,55078.0,37223.0
2020-08-01,57118.0,36569.0
2020-08-02,54735.0,51255.0
2020-08-03,52972.0,40574.0
2020-08-04,52050.0,44306.0
2020-08-05,52509.0,51706.0
2020-08-06,56282.0,46121.0
2020-08-07,62538.0,49769.0
2020-08-08,61537.0,48900.0
2020-08-09,64399.0,53879.0
2020-08-10,62064.0,54859.0
2020-08-11,53601.0,47746.0
2020-08-12,60963.0,56110.0
2020-08-13,66999.0,56383.0
2020-08-14,64553.0,55573.0
2020-08-15,65002.0,57381.0
2020-08-16,63490.0,53322.0
2020-08-17,57981.0,57584.0
2020-08-18,55079.0,57937.0
2020-08-19,64531.0,60091.0
2020-08-20,69652.0,58794.0
2020-08-21,68898.0,62282.0
2020-08-22,69878.0,63631.0
2020-08-23,69239.0,57989.0
2020-08-24,61408.0,57469.0
2020-08-25,60975.0,66550.0
2020-08-26,67151.0,63173.0
2020-08-27,75760.0,56013.0
2020-08-28,77266.0,60177.0
2020-08-29,76472.0,65050.0
2020-08-30,78761.0,64935.0
2020-08-31,78512.0,60868.0
2020-09-01,69921.0,65081.0
2020-09-02,78357.0,62026.0
2020-09-03,83883.0,68584.0
2020-09-04,83341.0,66659.0
2020-09-05,86432.0,70072.0
2020-09-06,90632.0,73642.0
2020-09-07,90802.0,69564.0
2020-09-08,75809.0,73521.0
2020-09-09,89706.0,74894.0
2020-09-10,95735.0,72939.0
2020-09-11,96551.0,70880.0
2020-09-12,97570.0,81533.0
2020-09-13,94372.0,78399.0
2020-09-14,92071.0,77512.0
2020-09-15,83809.0,79292.0
2020-09-16,90123.0,82961.0
2020-09-17,97894.0,82719.0
2020-09-18,96424.0,87472.0
2020-09-19,93337.0,95880.0
2020-09-20,92605.0,94612.0
2020-09-21,86961.0,93356.0
2020-09-22,75083.0,101468.0
2020-09-23,83347.0,89746.0
2020-09-24,86508.0,87374.0
2020-09-25,86052.0,81177.0
2020-09-26,85362.0,93420.0
