time,Afghanistan,Angola,Albania,United Arab Emirates,Argentina,Armenia,Australia,Austria,Azerbaijan,Burundi,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahamas,Bosnia and Herzegovina,Belarus,Belize,Bolivia,Brazil,Brunei Darussalam,Bhutan,Botswana,Central African Republic,Canada,Switzerland,Chile,China,Cote d'Ivoire,Cameroon,"Congo, Dem. Rep.","Congo, Rep.",Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Germany,Djibouti,Denmark,Dominican Republic,Algeria,Ecuador,Egypt,Eritrea,Spain,Estonia,Ethiopia,Finland,Fiji,France,Gabon,United Kingdom,Georgia,Ghana,Guinea,Gambia,Guinea-Bissau,Equatorial Guinea,Greece,Greenland,Guatemala,Guyana,Honduras,Croatia,Haiti,Hungary,Indonesia,India,Ireland,Iran,Iraq,Iceland,Israel,Italy,Jamaica,Jordan,Japan,Kazakhstan,Kenya,Kyrgyz Republic,Cambodia,South Korea,Kuwait,Lao PDR,Lebanon,Liberia,Libya,Sri Lanka,Lesotho,Lithuania,Luxembourg,Latvia,Morocco,Moldova,Madagascar,Mexico,North Macedonia,Mali,Myanmar,Montenegro,Mongolia,Mozambique,Mauritania,Malawi,Malaysia,Namibia,New Caledonia,Niger,Nigeria,Nicaragua,Netherlands,Norway,Nepal,New Zealand,Oman,Pakistan,Panama,Peru,Philippines,Papua New Guinea,Poland,Puerto Rico,North Korea,Portugal,Paraguay,West Bank and Gaza,Qatar,Romania,Russian Federation,Rwanda,Saudi Arabia,Sudan,Senegal,Solomon Islands,Sierra Leone,El Salvador,Somalia,Serbia,South Sudan,Suriname,Slovak Republic,Slovenia,Sweden,Eswatini,Syrian Arab Republic,Chad,Togo,Thailand,Tajikistan,Turkmenistan,Timor-Leste,Trinidad and Tobago,Tunisia,Turkey,Tanzania,Uganda,Ukraine,Uruguay,USA,Uzbekistan,Venezuela,Vietnam,Vanuatu,"Yemen, Rep.",South Africa,Zambia,Zimbabwe
1960,,,,,,,459760073.6,91559097.96,,,383220247.4,1301005.322,1268378.23,,,,,,,,382729752.1,,,,,1702442711.0,200093758.2,126791042.6,,,,,,75960813.87,0.0,,,,2884517772.0,,161137605.4,38300000.0,,22400000.0,,,232839815.9,,15335262.65,89557618.81,,3881219690.0,,4587798165.0,,20821777.35,,,,,170327798.1,,12084076.43,,3920000.0,,,,,681765681.8,25800590.11,98679867.99,118726952.5,0.0,190277777.8,1009308856.0,,56139977.54,480555555.6,,,,,275643564.4,,,22906905.2,,5571997.771,16653016.65,,,5260312.876,,41596762.37,,1604193.589,84000000.0,,,89512589.51,,,,,,51286741.89,,,,23379990.65,,454719432.1,148119940.8,,101219676.1,,208845208.8,,49085687.49,123821340.0,,3550000000.0,,,105157457.3,7088541.594,,,740833333.3,,,140888888.9,18667432.51,,,,4384473.695,,,,,,,526848900.4,,90223463.69,,,62825161.22,,,,,15952380.95,468810916.2,,,,,45380000000.0,,234357740.4,,,,69999972.0,,
1961,,,,,,,470960075.4,91029854.62,,,391218827.4,2173203.947,1643154.204,,,,,,,4935417.964,342339720.8,,,,,1677820881.0,237368366.9,160930923.5,,,,,,97313432.84,0.0,,,,3266495653.0,,170837712.9,36300000.0,,18700000.0,,,239348772.1,,18555265.31,105350974.8,,4131003787.0,,4747398101.0,,27454210.3,,,,,167762365.8,,12084076.43,,3830000.0,,,,,748388248.4,27564733.02,105940594.1,125481949.8,0.0,241805555.6,1062907313.0,,55509977.8,492361111.1,,,,,157061350.1,,,27837147.81,,7167997.133,17083517.08,,,5800866.499,,48275957.47,,8482781.25,86400000.0,,3922368.099,85617085.62,,,,,,42466728.95,,,,28279988.69,,551530519.8,165059934.0,,96678751.22,,210105210.1,,63020431.3,128712871.3,,4025000000.0,,,171194666.8,7187461.316,,,794666666.7,,,71555555.56,20505456.63,,,1930599.228,4441787.077,3160000.0,,,,,,564736401.6,,90223463.69,,326999.9185,58741404.86,,,,,18571428.57,301330376.9,,,,,47808000000.0,,114632682.9,,,,113749954.5,,
1962,,,,,305162407.2,,489440078.3,100026991.4,,8420000.0,422220787.9,2734537.618,4901760.716,,,,,,,5195618.571,387449035.5,,,,,1671313753.0,273728261.2,162626224.4,,8766845.976,,,,153596253.4,0.0,,,,4308248214.0,,224550248.0,38000000.0,,18300000.0,249697766.8,,308791693.5,,20185391.65,154403280.6,,4493323590.0,,5005697998.0,,27944464.05,,,,,170034222.7,,11954140.13,,3830000.0,,,,,1065436065.0,29163487.53,109900990.1,135064946.0,0.0,210604174.5,1222013656.0,,60409975.84,538194444.4,,,,,186153846.2,,,40876824.5,,16687993.32,15849765.85,,,7099970.149,,53848540.36,,9179552.203,99200000.0,,4342608.994,90704340.7,,,,,,43773397.53,,,,38639984.54,,603866851.7,191939923.2,,96323106.14,,200340200.3,,66368381.8,82889601.24,,4375000000.0,,,199785222.2,8276810.921,,,902000000.0,,,84222222.22,24842044.8,,,1983799.206,6218501.908,3700000.0,,,,,,636258725.2,,149593495.9,,714244.9003,80303734.18,,,,,14285714.29,330376940.1,,727985.4403,,,52381000000.0,,203900682.8,,,,186199925.5,,
1963,,,,,242219771.2,,553280088.5,125959915.1,,1012000.0,444601321.5,2963071.799,5281287.753,,,,,,,6404292.358,441999606.2,,,,,1610091701.0,294995369.3,152917455.4,,8064779.443,,58217821.78,,170000000.0,0.0,,,,4981004024.0,,239028020.3,39000000.0,66436300.15,17100000.0,335799697.8,,316520311.1,,27289522.51,128576498.4,,4628060852.0,,5196797921.0,,31096095.34,,,,,179495712.8,,14812738.85,,3820000.0,,,,,1795449295.0,30210947.39,128712871.3,163218934.7,0.0,259250864.2,1463283724.0,,61879975.25,629861111.1,,1861999.255,,,185384615.4,,,33900603.43,,18675992.53,13917763.92,,,6962653.392,,74893933.2,,8956747.538,112000000.0,,4375224.475,100322350.3,,,,,,60760089.11,,,,45499981.8,,637373073.3,205099918.0,,100042547.6,,219660219.7,,97315436.24,94235401.82,,4950000000.0,,,199087891.6,9208934.811,,,904833333.3,,,113777777.8,28144744.4,,,2155999.138,6103875.145,4480000.0,,,,,,697922566.5,,,,1134619.78,85501269.8,,,,,15238095.24,350000000.0,,2729945.401,,,52295000000.0,,245397307.8,,,,188999924.4,,
1964,,,,,245740498.0,,655760104.9,164594679.0,,1162000.0,497059226.9,3803662.454,5358593.135,,,,,,,,354227857.1,,,,,1657457283.0,329525835.0,149950377.7,,11190603.48,,49818181.82,,190000000.0,0.0,,,,4888248899.0,,255387903.0,42500000.0,99856999.91,20600000.0,448499596.4,,386820000.7,,36140000.0,139910553.9,,4917956554.0,,5508997796.0,,33302237.24,,,,,188207553.1,,12993630.57,,5850000.0,,,,,1986654487.0,36054670.79,155445544.6,185198925.9,0.0,278584261.9,1586666708.0,,61879975.25,718055555.6,,5879997.648,,,137481470.4,,,38065368.32,,21475991.41,13938763.94,,,9278159.213,,69993222.0,,9455019.789,120000000.0,,5174939.905,97912597.91,,,,,,84606790.76,,,,54319978.27,,735383641.4,219799912.1,,123402030.6,,257880257.9,,120432513.0,93605898.71,,5200000000.0,,,224400993.0,9815376.859,,,949166666.7,,,123555555.6,41872487.08,,,2353399.059,5724173.991,5420000.0,,,,,,758619889.8,,112041884.8,,3383300.616,87235576.92,,,,,17478991.6,380897803.7,,5487890.242,,,51213000000.0,,200459770.1,,,,271599891.4,,
1965,,,,,252407602.9,,787360126.0,142895702.0,,2153481.481,500722082.8,3994923.713,3509330.33,,,,,,,,632869026.5,,,,,1574704540.0,343475228.4,168215772.4,,12902909.89,,78909090.91,,185202864.0,0.0,,,,4978559240.0,,285791224.7,40200000.0,105528391.4,23800000.0,515199536.3,,439425746.0,,42900000.0,149572371.7,,5124506743.0,,5791097684.0,,35578415.39,10492201.74,,,,209674799.6,,18580891.72,,6250000.0,,,,,2125989626.0,39086791.42,200000000.0,225742909.7,0.0,313917713.1,1719942315.0,,62929974.83,821388888.9,,9897996.041,,,132131636.1,,,44598531.83,2700000.0,29119988.35,14474264.47,,,9520198.149,,63175700.38,,10710827.9,119200000.0,,4647822.379,107241857.2,,,,,1771001.771,118580173.9,,,,65939973.62,,749993912.4,265579893.8,,126982427.6,,439635439.6,,132736763.6,93114395.13,,5525000000.0,,,232350562.0,11679624.64,,,1034000000.0,,,177777777.8,56375646.18,,,2505998.998,6483576.298,5170000.0,,,,,,844543330.0,,118062827.2,,3362428.13,94266826.92,,,,,12761904.76,422676991.2,,10737785.24,,,51827000000.0,,227272727.3,,,,289449884.2,,15600000.0
1966,,,,,279225436.3,,986720157.9,167770139.0,,2286857.143,563377895.4,3724387.206,3907553.79,,,,,,,,718216574.6,,,,,1614422827.0,378234372.7,186697964.8,,13269401.41,,78363636.36,,172592592.6,0.0,,,,5063637742.0,,301137663.3,37200000.0,104515642.9,22900000.0,481849566.3,,560943076.5,,43420000.0,152916847.1,,5414601741.0,,5984997606.0,,47344505.52,13895077.98,,,,238979294.9,,19100636.94,,6500000.0,,,,,1661154906.0,38314978.9,256105610.6,234996906.0,0.0,375501251.7,1904604599.0,,76089969.56,932430555.6,,13047994.78,,,176901786.3,,,51425377.31,2800000.0,58519976.59,15282765.28,,,9923596.376,,67938085.05,,11342782.95,130400000.0,,4636149.757,105456855.5,,,,,1848001.848,148633551.3,,,,55719977.71,,770691796.3,272579891.0,,148221481.3,,549675549.7,,145041014.2,109615384.6,,5975000000.0,,,257175532.1,13588794.05,,,1076000000.0,,,300444444.4,50315910.4,,,2539598.984,6591038.889,6500000.0,,,,,,906980385.5,,102356020.9,,2889961.657,105540865.4,,,,,13714285.71,442035398.2,,14265714.69,,,63572000000.0,,238636363.6,,,,324449870.2,,16950000.0
1967,,,,,251930719.1,,1197840192.0,176767275.8,,2376000.0,607918707.2,3910553.209,3695106.93,,,,,,,,746139163.6,,,,,1775500366.0,383265301.5,182705341.3,,14711322.31,,45907648.68,,178541885.0,0.0,,,,5352122317.0,,323292901.4,35800000.0,99249350.83,25300000.0,508299542.5,,545917155.9,,37000000.0,146661680.3,,5856108417.0,3008117.853,6200583812.0,,,,,,,313035616.3,,21179617.83,,6800000.0,,,,,1487733333.0,39693241.93,331023102.3,234541906.2,0.0,605514168.1,1928786564.0,,104719958.1,1039027778.0,,15987993.6,,,218100895.7,,35544791.67,57730955.03,3050000.0,79519968.19,15711432.16,,,8229323.824,,70348918.78,,12112471.79,133600000.0,,5081280.157,102039102.0,,,,,2133370.892,143406877.0,,,,239959904.0,,883921396.7,293579882.6,,149591230.9,,478275478.3,,243980653.5,129487179.5,,6275000000.0,,,333045103.3,14936443.05,,,1123833333.0,,,336222222.2,52268811.03,,,2883153.573,6777307.379,7530000.0,,,,,,921961412.7,,118586387.4,,3105678.432,126346153.8,,,,,15428571.43,508407079.6,14629994.15,16841663.17,,,75448000000.0,,270454545.5,,,,373099850.8,,19000000.0
1968,,,,,337142857.1,,1321600211.0,182059709.2,,2590857.143,646381114.5,4293821.825,3760628.522,,,,,,,11583123.79,755307566.7,,,,,1797265817.0,373889479.6,173781024.3,,15305071.4,,50479041.92,,141184847.8,0.0,,,,4827481334.0,,345466666.7,37300000.0,99249350.83,29300000.0,648599416.3,,668753624.8,,34660000.0,150060024.0,,6129940876.0,2989113.97,5563195549.0,,44271216.36,14178651.0,,,,366771882.7,,20400000.0,,7050000.0,,,150166666.7,,1586866667.0,37141485.43,437293729.4,291437883.4,0.0,690001971.4,1991165044.0,,127749948.9,1168194444.0,,16365993.45,,,278696524.4,,35461875.0,65572316.45,3050000.0,95479961.81,14305226.32,,,7479003.122,,90900288.31,,13044200.39,148800000.0,,5251146.164,104590604.6,,,,,1881000.752,148306884.2,,,,369039852.4,6891062.971,905836803.3,321999871.2,,135520021.7,,492555492.6,,113178294.6,153846153.8,,7225000000.0,,,371893392.1,16621004.29,,,1255833333.0,,,338666666.7,57725445.15,,,2658001.063,6619695.579,8340000.0,,,,,,941001815.1,,190052356.0,,3288025.367,154639423.1,,,,5087500.0,17523809.52,570685840.7,16239993.5,19942601.15,,,80732000000.0,,272727272.7,,,,399699840.1,,30600000.0
1969,,,,,442857142.9,,1314880210.0,193173819.4,,3337142.857,675078864.4,4015987.013,4023680.475,,,,,,,12254609.23,816622811.0,,,,,1770108751.0,409105981.1,179980922.7,,16156269.59,,72455089.82,,131638962.8,0.0,,,,5471706536.0,,352000000.0,35600000.0,99249350.83,39700000.0,888949199.9,,805713226.3,,34420000.0,140291965.8,,5909705121.0,4350652.598,5544595564.0,,49026817.67,14705286.61,,,,425403589.9,,17600000.0,,7200000.0,,,173333333.3,,1691433333.0,41630596.27,566006600.7,375997849.6,0.0,872002491.4,2003805617.0,,125859949.7,1335416667.0,,15749993.7,,,347028223.8,,36133958.33,65138973.39,3050000.0,143079942.8,15863429.19,,,7817857.633,,84972008.64,,13014516.19,180000000.0,,5673928.012,114418614.4,,,,,1959000.784,143733544.1,,,,684459726.2,6988120.196,1017240120.0,350279859.9,,147560023.6,,552720552.7,,128940568.5,189230769.2,,7975000000.0,,,374919807.0,17856349.21,,,1380000000.0,,,429333333.3,87018954.62,,,3297601.319,7508052.995,9000000.0,,,,,,1017260076.0,,194502617.8,,3435130.654,184903846.2,,,,5262500.0,16952380.95,596792035.4,20089991.96,22861542.77,,,81443000000.0,,263636363.6,,,,425599829.8,,42350000.0
